Order ID,Order Date,Unit Cost,Price,Order Qty,Cost of Sales,Sales,Profit,Channel,Promotion Name,Product Name,Manufacturer,Product Sub Category,Product Category,Region,City,Country,Month
7077,2017-09-13,76.09496775,304.0,9,684.8547097,2714.72,2029.86529,Store,European Spring Promotion,Contoso SLR Camera M143 Grey,"Contoso, Ltd",Digital SLR Cameras,Cameras and camcorders ,Europe,Moscow,Russia,September
117,2016-08-20,7.491752798,12.99,4,29.96701119,50.1414,20.17438881,Store,European Spring Promotion,Contoso 512MB MP3 Player E51 Blue,"Contoso, Ltd",MP4&MP3,Audio,Europe,Moscow,Russia,August
7018,2016-07-08,10.12233768,159.99,9,91.10103916,1395.1128,1304.011761,Store,European Spring Promotion,Contoso DVD 9-Inch Player Portable M300 Silver,"Contoso, Ltd",Movie DVD,"Music, Movies and Audio Books",Europe,Moscow,Russia,July
140,2018-08-11,0.576153263,25.69,18,10.37075874,462.42,452.0492413,Store,North America Spring Promotion,NT Bluetooth Stereo Headphones E52 Pink,Northwind Traders,Bluetooth Headphones,Audio,North America,Bellevue,United States,August
491,2017-07-15,108.5087768,304.0,9,976.5789912,2614.4,1637.821009,Online,Asian Spring Promotion,Contoso SLR Camera M143 Grey,"Contoso, Ltd",Digital SLR Cameras,Cameras and camcorders ,Asia,Beijing,China,July
58,2018-10-02,77.98502883,299.0,24,1871.640692,7056.4,5184.759308,Online,Asian Summer Promotion,SV Car Video TFT7 M7000 Silver,Southridge Video,Car Video,TV and Video,Asia,Beijing,China,October
7085,2019-02-22,154.987254,699.0,10,1549.87254,6990.0,5440.12746,Online,No Discount,Adventure Works Laptop15 M1501 Red,Adventure Works,Laptops,Computers,Asia,Beijing,China,February
929,2017-03-13,96.4548497,178.0,5,482.2742485,890.0,407.7257515,Online,No Discount,Fabrikam Social Videographer 1/2'' 3mm E300 White,"Fabrikam, Inc.",Camcorders,Cameras and camcorders ,Asia,Beijing,China,March
1527,2017-06-26,227.3970926,310.0,13,2956.162204,3890.5,934.3377958,Online,Asian Holiday Promotion,The Phone Company Smart phones Unlocked International M800 Gold,The Phone Company,Smart phones & PDAs ,Cell phones,Asia,Beijing,China,June
7264,2018-01-16,158.6528393,299.0,30,4759.58518,8970.0,4210.41482,Online,No Discount,The Phone Company PDA Phone 3.5 inches M320 Silver,The Phone Company,Smart phones & PDAs ,Cell phones,Asia,Beijing,China,January
1471,2016-08-21,346.6271251,763.51,18,6239.288252,13590.478,7351.189748,Online,Asian Spring Promotion,"Adventure Works 42"" LCD HDTV M55 Black",Adventure Works,Televisions,TV and Video,Asia,Beijing,China,August
845,2017-12-13,192.8419767,588.0,24,4628.207442,14112.0,9483.792558,Online,No Discount,"A. Datum SLR Camera 35"" X358 Gold",A. Datum Corporation,Digital SLR Cameras,Cameras and camcorders ,Asia,Beijing,China,December
7144,2017-12-12,50.30309548,95.95,24,1207.274292,2302.8,1095.525708,Online,No Discount,Contoso 4GB Portable MP3 Player M450 Yellow,"Contoso, Ltd",MP4&MP3,Audio,Asia,Beijing,China,December
1160,2017-02-17,181.8228396,299.23,10,1818.228396,2992.3,1174.071604,Online,No Discount,Contoso 8GB Clock & Radio MP3 Player X850 Silver,"Contoso, Ltd",MP4&MP3,Audio,Asia,Beijing,China,February
619,2017-12-15,144.2994725,299.23,12,1731.59367,3590.76,1859.16633,Online,No Discount,Contoso 8GB Clock & Radio MP3 Player X850 Green,"Contoso, Ltd",MP4&MP3,Audio,Asia,Beijing,China,December
625,2019-01-08,13.04327298,159.0,20,260.8654596,3180.0,2919.13454,Online,No Discount,"Proseware Color Ink Jet Fax, Copier, Phone M250 Black","Proseware, Inc.","Printers, Scanners & Fax",Computers,Asia,Beijing,China,January
